trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
102	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
103	2	3	FALSE	1	TRUE	switched	2	TRUE	won
104	1	3	FALSE	2	TRUE	switched	1	TRUE	won
105	2	3	FALSE	1	TRUE	switched	2	TRUE	won
106	3	2	FALSE	1	TRUE	switched	3	TRUE	won
107	3	2	FALSE	1	TRUE	switched	3	TRUE	won
108	1	3	FALSE	2	TRUE	switched	1	TRUE	won
109	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
110	3	1	FALSE	2	TRUE	switched	3	TRUE	won
111	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
112	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
113	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
114	3	2	FALSE	1	TRUE	switched	3	TRUE	won
115	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
116	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
117	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
118	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
119	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
120	3	2	FALSE	1	TRUE	switched	3	TRUE	won
121	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
122	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
123	1	3	FALSE	2	TRUE	switched	1	TRUE	won
124	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
125	2	1	FALSE	3	TRUE	switched	2	TRUE	won
126	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
127	2	1	FALSE	3	TRUE	switched	2	TRUE	won
128	1	2	FALSE	3	TRUE	switched	1	TRUE	won
129	3	1	FALSE	2	TRUE	switched	3	TRUE	won
130	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
131	3	2	FALSE	1	TRUE	switched	3	TRUE	won
132	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
133	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
134	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
135	3	1	FALSE	2	TRUE	switched	3	TRUE	won
136	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
137	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
138	3	1	FALSE	2	TRUE	switched	3	TRUE	won
139	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
140	3	1	FALSE	2	TRUE	switched	3	TRUE	won
141	3	2	FALSE	1	TRUE	switched	3	TRUE	won
142	3	1	FALSE	2	TRUE	switched	3	TRUE	won
143	2	1	FALSE	3	TRUE	switched	2	TRUE	won
144	3	2	FALSE	1	TRUE	switched	3	TRUE	won
145	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
146	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
147	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
148	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
149	1	3	FALSE	2	TRUE	switched	1	TRUE	won
150	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
151	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
152	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
153	2	1	FALSE	3	TRUE	switched	2	TRUE	won
154	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
155	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
156	1	3	FALSE	2	TRUE	switched	1	TRUE	won
157	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
158	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
159	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
160	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
161	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
162	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
163	3	2	FALSE	1	TRUE	switched	3	TRUE	won
164	3	1	FALSE	2	TRUE	switched	3	TRUE	won
165	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
166	3	2	FALSE	1	TRUE	switched	3	TRUE	won
167	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
168	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
169	3	1	FALSE	2	TRUE	switched	3	TRUE	won
170	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
